book,page,seq,hangul,pos,meaning_cn,example_ko,example_zh,status,note
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),264,278,주문하기,,点餐,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),265,279,디저트,,甜品,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),266,280,냉채,,凉菜,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),267,281,중국요리,,中餐,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),268,282,양식,,西餐,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),269,283,예약,,预约,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),269,284,계산,,结账,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),269,285,자리,,座位,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),269,286,주식,,主食,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),269,287,아침,,早上,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),269,288,점심,,中午,,,,原书笔误 정심
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),269,289,저녁,,晚上,,,,原书笔误 저녘
